id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1L9wypqC1UW5LmHJASOzlL,Die Fledermaus (short version): Part 2,0,308998,0,"['Johann Strauss II', 'Margret Pfahl', 'Adele Kern', 'Waldemar Henke', 'Willi Domgraf-Fassbaender', 'Staatskapelle Berlin', 'Hermann Weigert']","['5goS0v24Fc1ydjCKQRwtjM', '4czexOloc6hpHrKxIjwV7Z', '4I9U3kx6vlV6rImM6w8QVO', '4cyy4v2r26eX1FrNWVYiJM', '2VCbX9K7r3tGhjiY4b6bw0', '7vEPPI71V8dEHtEhPMAxWT', '3jITPa4gnQdIk9b6PHQz3q']",1929-01-01,0.596,0.184,0,-14.17,1,0.464,0.984,2.12E-05,0.267,0.223,101.816,4
1MgmDJ85CWap370tjkPyyd,No One To Call Me Darling,0,188027,0,['Gene Autry'],['5ixB75BQR3ADoWQkcHQJTs'],1929,0.549,0.113,1,-14.285,1,0.0341,0.986,0.0,0.15,0.373,132.644,3
1N2P2VZ0TzV6pUJW0OiRdi,Mientras Llora el Tango - Remasterizado,0,191240,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-04,0.618,0.52,8,-9.036,1,0.165,0.944,0.354,0.21,0.302,121.083,4
1PrUUwRkkMbS7svLj7J13p,Deja Que Se Vaya - Remasterizado,0,174933,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-17,0.609,0.297,4,-11.312,0,0.167,0.994,0.15,0.118,0.596,119.976,4
1QJsVULKD6p1fBpU3oMJXX,Le blues du petite chien,0,168387,0,['Amedee Breaux'],['0eXWfFDsWzmc5il4kLdVqx'],1929,0.425,0.159,3,-12.464,1,0.0373,0.996,0.15,0.105,0.0434,158.114,4
1RMwI9OsUJPUcGIjWRz1ws,Pálida Noche - Instrumental (Remasterizado),0,176427,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-15,0.661,0.254,1,-11.666,1,0.0545,0.989,0.286,0.119,0.756,112.832,4
1T9HrB69usKOLva4u4qbD2,On The Sunny Side Of The Street - Live,0,210787,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1929,0.614,0.363,0,-11.049,1,0.0541,0.383,1.39E-06,0.964,0.65,120.855,4
1V1b8X2aC5vVTvkFNi9A9T,Sueño Chino - Instrumental (Remasterizado),0,197613,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-18,0.872,0.409,2,-6.876,1,0.0835,0.99,0.678,0.109,0.848,92.529,4
1WSWo9NYP3QHIdjAK7wp7S,Azulidad - Remasterizado,0,167267,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-18,0.664,0.26,0,-11.494,0,0.343,0.993,0.799,0.131,0.877,117.822,4
1WqW82RQEXglJ7M0ESif2n,I Love You,0,435147,0,['Steve Correll Group'],['6yFEWWzLGZ5iYFFlgbl45b'],1929,0.536,0.283,0,-13.882,1,0.0349,0.46,0.00227,0.112,0.257,118.262,4
1XJneKnY7gkgaiA0A4PLru,El Vals del Amor - Remasterizado,0,183493,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-05,0.433,0.189,4,-10.808,1,0.0455,0.978,0.000801,0.0951,0.481,143.433,3
1aAC4rqpBFA0hi6SfwHp1B,Aquel Tapado de Armiño - Remasterizado,0,149453,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1929-06-19,0.648,0.281,6,-15.997,1,0.15,0.982,0.00258,0.155,0.75,131.78,3
1acs9Iy58pL55hZ6tpqWed,California Blues (Blue Yodel No. 4),0,155200,0,['Gene Autry'],['5ixB75BQR3ADoWQkcHQJTs'],1929,0.727,0.12,1,-13.683,0,0.0635,0.979,0.0,0.144,0.599,129.512,4
1bjYI4TisdG1J5eQfaTiB2,Penitencia - Remasterizado,0,171493,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-18,0.67,0.416,1,-7.113,0,0.0893,0.994,0.355,0.308,0.728,116.553,4
1czqMk4oxuNTViJIICsIAG,Entre Dos Luces - Remasterizado,0,168147,0,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],1929-06-21,0.625,0.24,1,-17.818,1,0.0438,0.991,0.0684,0.157,0.694,108.12,3
1d0f4orig3tvRSigHNtU19,Allá en el Monte - Remasterizado,0,215053,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-15,0.51,0.277,6,-12.841,0,0.174,0.993,0.783,0.117,0.779,174.466,3
1dWZCMwYq2c5WIh1ti5mgz,No Quiero Verla Más - Remasterizado,0,187493,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-05,0.652,0.149,7,-12.657,1,0.059,0.994,0.831,0.115,0.695,118.121,4
